nombre,postal,calle,numero,cocina,lat,lon,wheelchair
Restaurante Stil,35627,Calle La Parabola,,german,28.1618001,-14.2310826,
Pizzeria Rinconcito,,,,pizza,28.1616042,-14.2306256,
Finca Pepe,35637,,,,28.4237879,-14.0724355,
Casa Enrique,39710,Paseo de la Estación,12,,43.3871447,-3.731052,
Gallipoli,11300,Avenida de España,,italian,36.1604123,-5.3491917,
Restaurante El Cortijo,,,,,42.3386557,-1.8102323,
Cantal Panoramic,,,,,42.7625673,-0.3829669,
Autoservicio Anayet,,,,,42.7791398,-0.4132234,
Selva Café,,,,,42.7748435,-0.3721433,
Preity Raj,,,,,40.4102862,-3.7008582,
A Cañada,28012,Calle del Ave María,17,regional,40.4109653,-3.7004479,
Raja Mahal,28012,Calle del Ave María,15,indian,40.4111374,-3.700326,
Moharaj,,,,,40.4110886,-3.700589,
Nap,28012,Calle del Ave María,,pizza,40.4108202,-3.7005322,limited
Bombay Palace,,,,,40.4107264,-3.7008747,
,,,,,40.4093708,-3.7009194,
O'Barquiño,28012,Calle de la Torrecilla del Leal,3,,40.4114924,-3.6994308,
La Temeraria,28012,Calle del Ave María,8,italian;creative,40.4117492,-3.700322,
Taberna Garibaldi,,,,,40.4116655,-3.700364,
Valencia 11,,,,,38.3526493,-0.4833981,
casa Salvi,,,,,38.3598232,-0.468365,
Hotel Peñalén,,,,,42.3287406,-1.8108916,
Bonaparte,,Avenida Francisco de Goya,17,,41.6427539,-0.8881719,
El Tuno,,,,,41.6407392,-0.8969864,limited
Ginos,,,,italian,40.455063,-3.6226906,
Wok,,,,,40.4550377,-3.622496,
Vips,,,,international,40.4549871,-3.6222587,
Como Como Slow Food,28037,Calle de Julián Camarillo,47,international,40.4367886,-3.6226101,
La Picada,,Calle Obispo,3,,42.5933676,0.5390373,
El Rincón,,,,,42.5946695,0.5385773,
Planet 81,,,,pizza,42.5893712,0.5399148,
Los Reyes,28412,Plaza de la Constitución,10,,40.7175029,-3.9201748,
Asador don Baco,28413,Plaza de la Constitución,7,,40.7174658,-3.9203127,
La Venta de El Boalo,28413,Plaza de la Constitución,4,,40.7174281,-3.9203733,
La Venta de Isidro,28413,Plaza de la Constitución,9,,40.7173984,-3.920457,
Mesón Agustín,28413,Calle Audiencia,4,,40.7174142,-3.9196009,
Las Viandas Mesón,,,,,37.9840242,-1.1325607,
Meson de Ligüerre,,,,,42.2810489,0.1968586,
Área de Servicio Valle de Petrosos,,,,,42.703242,-0.2744765,
Bar El Parc,,,,,38.8318852,-0.4969566,
Restaurante Pico Pico,,,,,40.445038,-3.6411778,
Asador Rías Bajas,,,,,40.4445989,-3.6403865,yes
El Racó,,,,,40.4424437,-3.6384083,limited
Happiness,,,,,40.4423564,-3.6383442,no
Chutoro Madrid,,,,,40.4704992,-3.5803968,
La Plaza,,,,,40.4739074,-3.5771263,
Miravalles,,,,seafood;regional,40.4710865,-3.5798455,
Al Tran Tran,,,,,40.4724032,-3.5820736,
Sidrería Poniente,,,,regional,43.5374883,-5.6840265,limited
El llavianu,33212,Plaza de la Ciudad de La Habana,,regional,43.5368402,-5.6840462,yes
Jota Cinco,,,,,40.4382334,-3.6373154,
Mamma Juana,,,,,40.438217,-3.6373926,
Grant's,,,,,40.4397488,-3.6364268,
Go,,,,asian,40.4375703,-3.6370092,
Matsuri,,Calle López de Aranda,38,asian,40.443889,-3.6345377,
Unus,,,,,40.4439935,-3.6344424,
Carlos,,,,,40.4440493,-3.6343156,
El Ratito,,,,,40.4441386,-3.6341149,
Eu Mundo,,,,,40.4445466,-3.6346069,
Casa Tampico,,,,,40.4448785,-3.635335,
Cafetería Restaurante El Raso,,,,,42.3385583,-1.8224552,
Hostal La Atalaya,,,,,42.3386896,-1.7969173,
Centro de Jubilados,,,,,36.8807271,-2.0054967,
La Chica,,,,,42.4814296,-1.6509359,
Torre Mauro,,,,,38.3660534,-0.4308318,yes
Salones Juan XXIII,,,,,38.3699207,-0.4700606,
La Montaña,,,,,40.5187667,-3.7754372,
Mesón del Pardo,,,4,,40.5194084,-3.7767025,
Canalla Tacos y Tragos,28050,Calle de San Juan de Ortega,68,,40.5059026,-3.6757441,
La Vega Experience,28108,Calle de Anabel Segura,11,,40.5338476,-3.6261189,
Restaurante Villa Marcilla,31340,Ctra Estacion s/n,,regional,42.3344379,-1.7184956,
Alfredo's Barbacoa,28036,Calle de Juan Hurtado de Mendoza,11,burger,40.4605707,-3.6872821,
,,,,,40.5060565,-3.6676655,
Petiscos Galegos,,Avenida de El Ferrol,25,galician,40.4740954,-3.7054024,
Vips,,,,international,40.479773,-3.7085001,
TGI Fridays,,,,american,40.4793935,-3.7083499,
Su Beroa,,Bista-eder kalea,11,,43.1846789,-2.4700007,yes
La Nicoletta,,,,italian,40.5090251,-3.6675001,
Las Marismas,,Avenida de Parayas,15D,regional,43.4371045,-3.8348716,
La Chimenea,50520,Ctra Magallon-La Almunia,,,41.8253473,-1.4673516,
,,,,,42.3120099,-1.9792473,
Kobe,,,,,40.5100394,-3.6673737,
Kyoto,,,,asian,40.5182775,-3.8987664,yes
Taberna La Bonica,,,,,40.5081627,-3.6709914,
Go! Sushing,28005,Paseo de las Acacias,29,sushi,40.4033042,-3.7081487,
